[2019-05-09T10:42:02.929874] 'REVERT_HINT' by ORGANIZER for team 1 teama, TakeHintChange{hintId=6, seccuss=true}, points: 5, score: -1
[2019-05-09T10:42:06.572706] 'TAKE_HINT' by ORGANIZER for team 1 teama, TakeHintChange{hintId=7, seccuss=false}, points: 0, score: -1
[2019-05-09T10:42:12.578170] 'CHANGE_CYPHER_STATUS' by ORGANIZER for team 11 Rychla rota Karla Gotta, StatusChange{cypherId=3, oldCypherStatus=SOLVED, newCypherStatus=PENDING}, points: -10, score: -8
[2019-05-09T10:42:14.961649] 'CHANGE_CYPHER_STATUS' by ORGANIZER for team 12 Batohy na nohy, StatusChange{cypherId=3, oldCypherStatus=SOLVED, newCypherStatus=PENDING}, points: -10, score: 0
[2019-05-09T10:42:16.987590] 'CHANGE_CYPHER_STATUS' by ORGANIZER for team 1 teama, StatusChange{cypherId=3, oldCypherStatus=PENDING, newCypherStatus=SKIPPED}, points: 0, score: -1
[2019-05-09T10:42:18.783635] 'CHANGE_CYPHER_STATUS' by ORGANIZER for team 11 Rychla rota Karla Gotta, StatusChange{cypherId=3, oldCypherStatus=PENDING, newCypherStatus=SOLVED}, points: 10, score: 2
[2019-05-09T10:42:23.793937] 'CHANGE_CYPHER_STATUS' by ORGANIZER for team 1 teama, StatusChange{cypherId=4, oldCypherStatus=PENDING, newCypherStatus=SOLVED}, points: 10, score: 9
[2019-05-09T10:42:26.752866] 'CHANGE_CYPHER_STATUS' by ORGANIZER for team 14 Prd a kak, StatusChange{cypherId=4, oldCypherStatus=PENDING, newCypherStatus=SOLVED}, points: 10, score: 20
[2019-05-09T10:42:44.923182] 'VERIFY_CODEWORD' by TEAM 500 teama, 4085, points: 0, score: 9
[2019-05-09T10:42:47.436200] 'VERIFY_CODEWORD' by TEAM 500 teama, asd, points: 0, score: 9
[2019-05-09T10:51:01.340692] 'CHANGE_CYPHER_STATUS' by ORGANIZER for team 11 Rychla rota Karla Gotta, StatusChange{cypherId=4, oldCypherStatus=PENDING, newCypherStatus=SOLVED}, points: 10, score: 12
[2019-05-09T10:51:03.356772] 'CHANGE_CYPHER_STATUS' by ORGANIZER for team 18 mja, StatusChange{cypherId=4, oldCypherStatus=PENDING, newCypherStatus=SOLVED}, points: 10, score: 20
[2019-05-09T10:51:18.346414] 'VERIFY_CODEWORD' by TEAM 1 teama, asdwww, points: 0, score: 9
[2019-05-09T10:51:20.968053] 'VERIFY_CODEWORD' by TEAM 1 teama, asd, points: 0, score: 9
[2019-05-09T13:01:28.375811] 'VERIFY_CODEWORD' by TEAM 3 testTeam, topgun, points: 0, score: 0
[2019-05-09T13:01:28.433615] 'VERIFY_CODEWORD' by TEAM 7 testTeam, topgun_wrong, points: 0, score: 0
[2019-05-09T13:01:28.476468] 'VERIFY_CODEWORD' by TEAM 11 testTeam, topgun, points: 10, score: 10
[2019-05-09T13:01:28.504588] 'VERIFY_CODEWORD' by TEAM 15 testTeam, firefly, points: 10, score: 0
[2019-05-14T07:51:05.743669] 'VERIFY_CODEWORD' by TEAM 3 Team, topgun, points: 0, score: 0
[2019-05-14T07:51:05.871519] 'VERIFY_CODEWORD' by TEAM 7 Team, topgun_wrong, points: 0, score: 0
[2019-05-14T07:51:05.969609] 'VERIFY_CODEWORD' by TEAM 11 Team, topgun, points: 0, score: 0
[2019-05-14T07:51:06.081294] 'VERIFY_CODEWORD' by TEAM 15 Team, firefly, points: 0, score: 0
[2019-05-14T07:51:46.046620] 'VERIFY_CODEWORD' by TEAM 3 Team, topgun, points: 0, score: 0
[2019-05-14T07:51:46.230007] 'VERIFY_CODEWORD' by TEAM 7 Team, topgun_wrong, points: 0, score: 0
[2019-05-14T07:51:46.297134] 'VERIFY_CODEWORD' by TEAM 11 Team, topgun, points: 0, score: 0
[2019-05-14T07:51:58.029912] 'VERIFY_CODEWORD' by TEAM 15 Team, firefly, points: 0, score: 0
[2019-05-14T07:54:54.049455] 'VERIFY_CODEWORD' by TEAM 3 Team, topgun, points: 0, score: 0
[2019-05-14T07:54:54.164067] 'VERIFY_CODEWORD' by TEAM 7 Team, topgun_wrong, points: 0, score: 0
[2019-05-14T07:54:54.202480] 'VERIFY_CODEWORD' by TEAM 11 Team, topgun, points: 0, score: 0
[2019-05-14T07:54:54.279958] 'VERIFY_CODEWORD' by TEAM 15 Team, firefly, points: 0, score: 0
[2019-05-14T08:01:04.833813] 'VERIFY_CODEWORD' by TEAM 3 Team, topgun, points: 0, score: 0
[2019-05-14T08:01:04.919749] 'VERIFY_CODEWORD' by TEAM 7 Team, topgun_wrong, points: 0, score: 0
[2019-05-14T08:01:05.010903] 'VERIFY_CODEWORD' by TEAM 11 Team, topgun, points: 10, score: 10
[2019-05-14T08:01:05.080184] 'VERIFY_CODEWORD' by TEAM 15 Team, firefly, points: 0, score: 0
[2019-05-14T08:02:34.226802] 'VERIFY_CODEWORD' by TEAM 3 Team, topgun, points: 0, score: 0
[2019-05-14T08:02:34.327070] 'VERIFY_CODEWORD' by TEAM 7 Team, topgun_wrong, points: 0, score: 0
[2019-05-14T08:02:34.405506] 'VERIFY_CODEWORD' by TEAM 11 Team, topgun, points: 10, score: 10
[2019-05-14T08:02:34.439080] 'VERIFY_CODEWORD' by TEAM 15 Team, firefly, points: 10, score: 0
